SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
STEL,EQ,259.5,259.5,238.5,245.95,246,255.3,15529,3855446.8,13-NOV-2023,725,INE577L01016,,9254,59.59
STERTOOLS,EQ,334.9,336.1,325.25,327.45,327.95,332.25,45382,15014282.15,13-NOV-2023,4208,INE334A01023,,23106,50.91
STLTECH,EQ,141.75,142.8,140.45,141.6,141.6,141.75,2695309,381025219.15,13-NOV-2023,9948,INE089C01029,,1671525,62.02
STOVEKRAFT,EQ,513.9,519.5,507.1,517.05,516.9,513.9,66534,34243631.15,13-NOV-2023,4562,INE00IN01015,,32668,49.10
STYLAMIND,EQ,1735.5,1770,1726.05,1765.45,1760,1739.85,19017,33390810.7,13-NOV-2023,4696,INE239C01020,,10123,53.23
STYRENIX,EQ,1365,1390.2,1333.1,1364.85,1370,1355.9,19657,26798039.6,13-NOV-2023,2991,INE189B01011,,10413,52.97
SUBEXLTD,EQ,31.25,31.3,30.55,30.65,30.7,31.15,1585281,48907691.5,13-NOV-2023,3708,INE754A01055,,940096,59.30
SUBROS,EQ,412,412,407.75,408.75,408.65,410.6,65924,27006076.95,13-NOV-2023,4136,INE287B01021,,32402,49.15
SUDARSCHEM,EQ,479.9,479.9,468,469.55,470,477.55,78367,36832664.15,13-NOV-2023,4748,INE659A01023,,41283,52.68
SUKHJITS,EQ,414.35,419.95,406.6,415.95,419.9,414.1,7892,3262312.35,13-NOV-2023,525,INE450E01011,,5630,71.34
SULA,EQ,488,488.85,483.95,485.7,485.5,488.25,117543,57174296.45,13-NOV-2023,5510,INE142Q01026,,62475,53.15
SUMEETINDS,BE,3.95,3.95,3.95,3.95,3.95,3.8,40970,161831.5,13-NOV-2023,26,INE235C01010,,-,-
SUMICHEM,EQ,386,387.5,381.4,382.85,383,386.05,99765,38263174.2,13-NOV-2023,4232,INE258G01013,,61882,62.03
SUMIT,EQ,28.2,30.45,28.2,30.45,30.45,29,194787,5821687.4,13-NOV-2023,709,INE748Z01013,,85283,43.78
SUMMITSEC,EQ,1116.8,1116.8,1087,1099.1,1094.2,1105.75,3548,3888586.65,13-NOV-2023,644,INE519C01017,,1724,48.59
SUNDARAM,BE,2.7,2.8,2.7,2.8,2.8,2.75,257320,712648.35,13-NOV-2023,428,INE108E01023,,-,-
SUNDARMFIN,EQ,3201,3265,3164.85,3214.2,3265,3224.35,35052,111683464.8,13-NOV-2023,2753,INE660A01013,,26026,74.25
SUNDARMHLD,EQ,163.7,163.7,159.7,160.2,160,163.8,164268,26419087.35,13-NOV-2023,4686,INE202Z01029,,82099,49.98
SUNDRMBRAK,BE,619.8,619.8,610,610.05,610.05,620,492,302504,13-NOV-2023,16,INE073D01013,,-,-
SUNDRMFAST,EQ,1281.95,1284.9,1258.9,1267.1,1267.05,1278.9,33330,42287782,13-NOV-2023,3787,INE387A01021,,16085,48.26
SUNFLAG,EQ,179.15,179.15,176.5,177.35,178.45,179.15,63594,11287065.85,13-NOV-2023,2558,INE947A01014,,32557,51.20
SUNPHARMA,EQ,1180.1,1187.55,1173.75,1177.8,1178.1,1180.6,816825,964148694.85,13-NOV-2023,52378,INE044A01036,,497280,60.88
SUNTECK,EQ,450,453,444,446.1,445.8,450.75,93468,41914797.55,13-NOV-2023,7677,INE805D01034,,40127,42.93
SUNTV,EQ,653.4,674.5,651.6,672.25,672.5,651,2257421,1508711843.7,13-NOV-2023,50142,INE424H01027,,466069,20.65
SUPERHOUSE,EQ,224.4,233.5,224.4,231.5,228.05,228.15,20170,4655308.1,13-NOV-2023,869,INE712B01010,,12640,62.67
SUPERSPIN,BE,8.2,8.25,8,8.2,8.2,8.2,35421,289011.3,13-NOV-2023,57,INE662A01027,,-,-
SUPRAJIT,EQ,371.9,372.95,358,363.75,364,371.6,274807,99802223.65,13-NOV-2023,14307,INE399C01030,,133979,48.75
SUPREMEENG,BE,0.8,0.8,0.7,0.75,0.8,0.75,374115,282233.8,13-NOV-2023,323,INE319Z01021,,-,-
SUPREMEIND,EQ,4295,4314.45,4208.05,4271.3,4279.9,4293,66927,285237073.65,13-NOV-2023,14633,INE195A01028,,17856,26.68
SUPREMEINF,BZ,29.25,29.8,29.25,29.8,29.8,29.25,27746,826182.35,13-NOV-2023,22,INE550H01011,,-,-
SUPRIYA,EQ,254,256.45,250.55,253.25,253,255.25,197672,50214631.95,13-NOV-2023,4513,INE07RO01027,,99261,50.22
SURANASOL,EQ,24.4,26.3,24.35,25.6,25.5,24.6,378980,9733940.35,13-NOV-2023,2587,INE272L01022,,215234,56.79
SURANAT&P,EQ,11.85,11.9,11.5,11.65,11.7,11.7,67307,788833.85,13-NOV-2023,719,INE130B01031,,43412,64.50
SURANI,SM,314.5,314.6,314.5,314.55,314.6,304.15,800,251640,13-NOV-2023,2,INE01ZJ01015,,800,100.00
SURYALAXMI,EQ,63.05,64.45,61.3,62.25,63.15,62.9,10696,671765.65,13-NOV-2023,218,INE713B01026,,6273,58.65
SURYAROSNI,EQ,517.9,518,502.15,504.25,504,515.65,186667,94585213.85,13-NOV-2023,13006,INE335A01020,,117593,63.00
SURYODAY,EQ,164.45,168.4,160.65,166.15,166.6,164.2,692819,114888258.4,13-NOV-2023,11498,INE428Q01011,,366300,52.87
SUTLEJTEX,EQ,56.85,57.4,55.5,56.8,57,56.85,146848,8366826.6,13-NOV-2023,740,INE645H01027,,89214,60.75
SUULD,BE,7.35,7.35,7.35,7.35,7.35,7.35,17728,130300.8,13-NOV-2023,85,INE591Q01016,,-,-
SUVEN,EQ,86.15,86.9,84.6,85.35,85.1,86.15,441992,37851154.95,13-NOV-2023,2947,INE495B01038,,201611,45.61
SUVENPHAR,EQ,582.65,584.85,576,577.95,578,587.9,92624,53695171.55,13-NOV-2023,6612,INE03QK01018,,58288,62.93
SUVIDHAA,EQ,5.3,5.3,5.1,5.15,5.2,5.1,936418,4882992.55,13-NOV-2023,2911,INE018401013,,801867,85.63
SUZLON,BE,38.6,39.25,37.8,38.65,38.65,38.4,45335763,1754485665.7,13-NOV-2023,105354,INE040H01021,,-,-
SVLL,BE,164,164,163.5,163.5,163.5,171.95,1376,225624,13-NOV-2023,13,INE00CE01017,,-,-
SVPGLOB,BE,9.4,9.6,9.4,9.4,9.4,9.6,136610,1301575.1,13-NOV-2023,108,INE308E01029,,-,-
SWANENERGY,EQ,447.05,462.85,416.6,429.9,432.1,449.45,23399089,10124719513.85,13-NOV-2023,153395,INE665A01038,,8356297,35.71
SWARAJ,SM,99,102.9,99,102.9,102.9,105,2000,201900,13-NOV-2023,2,INE0GMR01016,,2000,100.00
SWARAJENG,EQ,2108.15,2116.25,2065.65,2090.95,2085.8,2105.65,5740,11993965.4,13-NOV-2023,1262,INE277A01016,,3336,58.12
SWASTIK,SM,110.1,112,103.55,105.05,104.3,109.75,87600,9259920,13-NOV-2023,60,INE0DGC01025,,79200,90.41
SWELECTES,EQ,571.8,571.95,557.95,560.55,565,568.7,26403,14893186.15,13-NOV-2023,2652,INE409B01013,,15876,60.13
SWSOLAR,EQ,286.05,287.65,280.4,282.35,282.75,286.9,266116,75401377.15,13-NOV-2023,5499,INE00M201021,,166505,62.57
SYMPHONY,EQ,871.75,876.85,867,874.7,875,874.25,17536,15307518.85,13-NOV-2023,1870,INE225D01027,,10328,58.90
SYNCOMF,EQ,10.3,10.5,9.8,10.4,10.45,10.25,10158590,104711660.65,13-NOV-2023,8957,INE312C01025,,5719123,56.30
SYNGENE,EQ,714.2,720.25,703.35,707.3,708.1,719.45,546967,387937505.35,13-NOV-2023,15199,INE398R01022,,340770,62.30
SYNOPTICS,SM,130,130,125,128.45,129,130.7,24600,3135270,13-NOV-2023,41,INE0BTR01012,,18000,73.17
SYRMA,EQ,540,540,532.2,534.2,534.7,537.85,217101,116225760.15,13-NOV-2023,9717,INE0DYJ01015,,95311,43.90
SYSTANGO,SM,246.65,246.65,237.1,246.65,246.65,234.95,91600,22363940,13-NOV-2023,175,INE0O7R01011,,62400,68.12
TAINWALCHM,EQ,131.95,131.95,130.15,130.65,130.4,129.35,717,93793.65,13-NOV-2023,60,INE123C01018,,502,70.01
TAJGVK,EQ,221.4,223.9,219.25,221,221.5,221.4,54448,12082067.9,13-NOV-2023,1948,INE586B01026,,27839,51.13
TAKE,EQ,21.75,21.75,21.15,21.25,21.15,21.55,163302,3502955.85,13-NOV-2023,677,INE142I01023,,96787,59.27
TALBROAUTO,EQ,243.5,251,241.25,245.8,246.5,242.45,258480,63919386.45,13-NOV-2023,11047,INE187D01029,,142056,54.96
TANLA,EQ,950.95,950.95,929,930.4,930,950.95,471350,440864822.15,13-NOV-2023,20203,INE483C01032,,271206,57.54
TAPIFRUIT,SM,167.7,167.75,167,167,167,175.75,6000,1004137.5,13-NOV-2023,8,INE0M7001010,,4500,75.00
TARACHAND,SM,174,176,170,173.15,173.85,172.75,46000,8002550,13-NOV-2023,45,INE555Z01012,,28000,60.87
TARAPUR,BE,4.7,4.7,4.7,4.7,4.7,4.8,300,1410,13-NOV-2023,2,INE747K01017,,-,-
TARC,EQ,102.85,107.35,101.9,104.85,105.2,102.8,1408369,147975014.85,13-NOV-2023,8199,INE0EK901012,,755964,53.68
TARMAT,EQ,82.6,83.65,80.5,81.75,83,82.1,57524,4704922.95,13-NOV-2023,674,INE924H01018,,37448,65.10
TARSONS,EQ,493.45,493.45,484.1,487.15,487.85,496.5,38683,18864796.15,13-NOV-2023,4681,INE144Z01023,,15621,40.38
TASTYBITE,EQ,15732.1,15907.85,15600,15635.25,15679,15831.4,973,15322734.3,13-NOV-2023,548,INE488B01017,,426,43.78
TATACHEM,EQ,953.9,963,945.2,946.65,947.15,965,1293837,1231980499.5,13-NOV-2023,53420,INE092A01019,,476768,36.85
TATACOFFEE,EQ,270.45,272.3,268.3,271,270.55,270.45,1200275,325289668.6,13-NOV-2023,9171,INE493A01027,,729713,60.80
TATACOMM,EQ,1708.05,1715.1,1678.7,1707.1,1713,1709.3,315877,536883683.55,13-NOV-2023,24752,INE151A01013,,105274,33.33
TATACONSUM,EQ,914,920.45,907.1,916.55,917,915.3,904887,828288496.8,13-NOV-2023,42750,INE192A01025,,483896,53.48
TATAELXSI,EQ,8139,8199,8021.1,8086.8,8069,8139.05,74252,600996689.4,13-NOV-2023,15430,INE670A01012,,26736,36.01
TATAINVEST,EQ,3228.05,3243.3,3200,3222.65,3229.85,3239.6,32235,103798461.15,13-NOV-2023,5301,INE672A01018,,10417,32.32
TATAMETALI,EQ,925.4,926.95,917.1,923.45,921,921.95,21717,20039323.15,13-NOV-2023,1899,INE056C01010,,8248,37.98
TATAMOTORS,EQ,653,654,649.3,653.25,653.5,653.55,3279829,2138222126.85,13-NOV-2023,109399,INE155A01022,,1232724,37.59
TATAMTRDVR,EQ,445.8,448.05,443.4,444,443.75,445.85,1676602,745696712.7,13-NOV-2023,31376,IN9155A01020,,1028340,61.33
TATAPOWER,EQ,252.75,258.5,251.25,257.05,257.35,253.15,10251490,2619311583.65,13-NOV-2023,78429,INE245A01021,,3797511,37.04
TATASTEEL,EQ,120.85,121.25,119.9,121,120.8,120.85,17951775,2167412969.4,13-NOV-2023,128808,INE081A01020,,8101611,45.13
TATASTLLP,EQ,801.6,808.8,799.3,803.65,805,802.5,69491,55821694.1,13-NOV-2023,1752,INE674A01014,,42865,61.68
TATVA,EQ,1507.65,1525.9,1490,1513,1513,1505.1,10598,16049165.25,13-NOV-2023,1797,INE0GK401011,,5542,52.29
TBZ,EQ,125,128.5,123.05,127.25,127,125.05,348237,44125251.05,13-NOV-2023,4694,INE760L01018,,128469,36.89
TCFSL,NF,1063.1,1063.1,1063,1063,1063,1064,99,105242.1,13-NOV-2023,3,INE306N08292,,51,51.52
TCFSL,NJ,1019.26,1019.26,1017.01,1018.41,1018.41,1024,1150,1170747,13-NOV-2023,16,INE306N07LK9,,1010,87.83
TCI,EQ,890.45,894.25,875.05,881.7,881,893.4,26786,23725155.6,13-NOV-2023,3721,INE688A01022,,11697,43.67
TCIEXP,EQ,1335,1353.85,1330.5,1337.7,1330.5,1347.1,9036,12106936.15,13-NOV-2023,1433,INE586V01016,,4960,54.89
TCIFINANCE,BE,2.85,3.1,2.85,3.05,3.05,3,19695,57970.55,13-NOV-2023,52,INE911B01018,,-,-
TCLCONS,BE,22.2,24.4,22.2,24.4,24.4,23.25,33820,813299.5,13-NOV-2023,102,INE388G01026,,-,-
TCNSBRANDS,EQ,362,364.2,354.7,357.55,357.3,361.9,120456,43264443.7,13-NOV-2023,2604,INE778U01029,,45512,37.78
TCPLPACK,EQ,2177,2239,2168,2204.4,2208.6,2176.25,8226,18146697.15,13-NOV-2023,2150,INE822C01015,,4057,49.32
TCS,EQ,3356,3356,3327,3331.55,3332,3357.3,1030990,3436731318.9,13-NOV-2023,92128,INE467B01029,,825729,80.09
TDPOWERSYS,EQ,271.55,273,262.65,271.55,270.5,271.8,258286,69392208.95,13-NOV-2023,7877,INE419M01027,,118509,45.88
TEAMLEASE,EQ,2476.75,2498.95,2450,2488.05,2482.05,2478.75,85012,210813309.4,13-NOV-2023,2456,INE985S01024,,79375,93.37
TECH,EQ,32.49,32.49,31.08,31.73,31.75,32.05,26582,842648.75,13-NOV-2023,181,INF209KB11D8,,18867,70.98
TECHIN,BE,13.9,14.1,13.9,14.1,14.1,13.9,7715,108330.7,13-NOV-2023,22,INE778A01021,,-,-
TECHM,EQ,1140.6,1142.15,1128,1131.35,1131.05,1142.15,435537,493039958.65,13-NOV-2023,28855,INE669C01036,,196143,45.03
TECHNOE,EQ,617,620,595.3,600.25,604.5,614.6,244272,149218818.25,13-NOV-2023,11501,INE285K01026,,109656,44.89
TEGA,EQ,1039,1056.95,1013.7,1051.6,1046,1035.65,87145,90576277.1,13-NOV-2023,10565,INE011K01018,,41694,47.84
TEJASNET,EQ,851,852,838.6,840.55,841.6,850.5,121941,102772444.45,13-NOV-2023,5478,INE010J01012,,59898,49.12
TEMBO,EQ,260.9,260.9,246.25,248.7,247,252.3,60576,15242679.05,13-NOV-2023,1588,INE869Y01010,,23058,38.06
TERASOFT,EQ,44.4,44.45,43.05,43.85,43.9,43.5,33731,1477635.65,13-NOV-2023,313,INE482B01010,,21190,62.82
TEXINFRA,EQ,103.2,103.5,95.65,97.6,97.9,102.65,618675,61547859.9,13-NOV-2023,4166,INE435C01024,,356397,57.61
TEXMOPIPES,EQ,72.55,74,72.55,72.55,72.55,76.35,433181,31452815.2,13-NOV-2023,778,INE141K01013,,263163,60.75
TEXRAIL,EQ,130.65,132.9,129.7,132.35,132.5,130.65,988068,130200596.05,13-NOV-2023,9700,INE621L01012,,566082,57.29
TFCILTD,EQ,104.1,105,101,102.75,102.7,104.05,504351,52055985.3,13-NOV-2023,4066,INE305A01015,,271708,53.87
TFL,EQ,10.05,10.15,9.3,9.75,9.95,9.75,16578,163174.65,13-NOV-2023,261,INE804H01012,,11077,66.82
TGBHOTELS,EQ,13.15,13.25,12.75,12.9,12.9,13.15,139638,1799514.05,13-NOV-2023,463,INE797H01018,,91477,65.51
THANGAMAYL,EQ,1346,1363,1323,1335.1,1340,1357.6,13319,17789097.3,13-NOV-2023,2100,INE085J01014,,7618,57.20
THEINVEST,EQ,93.05,94.2,91.05,92.4,92.5,92.9,14070,1306644.95,13-NOV-2023,448,INE924D01017,,6772,48.13
THEJO,EQ,1865,2210,1825,2051.25,2065,1857,39791,81667711.05,13-NOV-2023,3749,INE121N01019,,24703,62.08
THEMISMED,EQ,167.3,167.5,162.65,163.45,163.95,166.35,81674,13440176.85,13-NOV-2023,2751,INE083B01024,,46673,57.15
THERMAX,EQ,2917.4,2925.7,2887.9,2901.25,2924,2915.65,13288,38574216.7,13-NOV-2023,4219,INE152A01029,,4585,34.50
THOMASCOOK,EQ,149.1,151,146.5,147.5,147.1,148.4,304855,45186778.2,13-NOV-2023,5392,INE332A01027,,186194,61.08
THOMASCOTT,BE,167.15,167.15,167.15,167.15,167.15,159.2,18058,3018394.7,13-NOV-2023,78,INE480M01011,,-,-
THYROCARE,EQ,549.45,550.8,540.05,542,542,549.45,16919,9194063.1,13-NOV-2023,1514,INE594H01019,,7933,46.89
TI,EQ,255.3,256.8,249.05,253.2,253.2,257.9,877782,222120810.9,13-NOV-2023,14776,INE133E01013,,394581,44.95
TIDEWATER,EQ,1202.95,1323.3,1202.95,1268.6,1275,1202.85,545272,700211192.5,13-NOV-2023,44926,INE484C01030,,166245,30.49
TIIL,EQ,2094.5,2094.5,2010.7,2032.5,2036,2104.55,23033,47234590.2,13-NOV-2023,4264,INE545H01011,,14431,62.65
TIINDIA,EQ,3199.7,3215,3132,3164.25,3160,3199.7,60824,192133828.4,13-NOV-2023,12898,INE974X01010,,26840,44.13
TIJARIA,EQ,6.7,6.7,6.25,6.4,6.4,6.4,6251,39994,13-NOV-2023,68,INE440L01017,,4499,71.97
TIL,BZ,320.7,320.7,320.7,320.7,320.7,314.45,3378,1083324.6,13-NOV-2023,17,INE806C01018,,-,-
TIMESCAN,SM,166,166,166,166,166,166,1000,166000,13-NOV-2023,1,INE0IJY01014,,1000,100.00
TIMESGTY,EQ,73.2,74.15,71.55,72.15,71.55,73.5,13767,1006716.35,13-NOV-2023,566,INE289C01025,,3868,28.10
TIMETECHNO,EQ,168.55,176.7,167.75,172.45,171.9,169.1,3502240,605962401.6,13-NOV-2023,22267,INE508G01029,,1256973,35.89
TIMKEN,EQ,2969.1,2982.85,2921.25,2946,2949,2964.85,21413,63233099.1,13-NOV-2023,6946,INE325A01013,,8887,41.50
TINPLATE,EQ,386.75,389.45,385,387.25,387.25,386.75,90948,35256846.15,13-NOV-2023,2283,INE422C01014,,39062,42.95
TIPSFILMS,EQ,646.05,661.1,623.25,629.5,623.55,657.9,9841,6269813.95,13-NOV-2023,958,INE0LQS01015,,6862,69.73
TIPSINDLTD,EQ,368.5,384,363.45,374.7,374.9,370.4,181841,67884897.6,13-NOV-2023,10466,INE716B01029,,80374,44.20
TIRUMALCHM,EQ,195,195.55,192,192.55,192.25,195.7,169245,32679198.4,13-NOV-2023,3287,INE338A01024,,96258,56.87
TIRUPATI,SM,422,422,420,420,420,422,1000,421000,13-NOV-2023,2,INE238Y01018,,1000,100.00
TIRUPATIFL,BE,11.45,11.65,11.2,11.65,11.65,11.1,605666,7009474.05,13-NOV-2023,1459,INE319Y01024,,-,-
TITAGARH,EQ,795,842,792.65,817.9,818,795.1,2572110,2113901586.65,13-NOV-2023,58691,INE615H01020,,902515,35.09
TITAN,EQ,3275,3278.35,3250.6,3264.75,3265.9,3280.6,275538,899087265.25,13-NOV-2023,35857,INE280A01028,,162425,58.95
TMB,EQ,531.95,531.95,525.7,530.35,531,531.7,35791,18944145.35,13-NOV-2023,2560,INE668A01016,,19876,55.53
TNIDETF,EQ,67.84,67.84,66.95,67.11,67.22,67.39,36730,2463036.3,13-NOV-2023,245,INF277KA1364,,32420,88.27
TNPETRO,EQ,90.4,90.5,89.3,89.75,90,90,165114,14852488.65,13-NOV-2023,1532,INE148A01019,,80013,48.46
TNPL,EQ,265.1,265.5,258.35,263.1,263.85,264.5,1126547,294845396.55,13-NOV-2023,19113,INE107A01015,,661706,58.74
TNTELE,BE,8.5,8.6,7.8,8.6,8.6,8.2,67258,566608.3,13-NOV-2023,117,INE141D01018,,-,-
TOKYOPLAST,EQ,107.7,107.7,103,103.9,104.5,105.15,12826,1351168.25,13-NOV-2023,328,INE932C01012,,7030,54.81
TORNTPHARM,EQ,2056.2,2075.6,2049.25,2066,2060,2063.9,188309,388319272.6,13-NOV-2023,13392,INE685A01028,,120443,63.96
TORNTPOWER,EQ,779.05,837.45,778.4,820.4,822,783.8,1434916,1175660488.9,13-NOV-2023,51479,INE813H01021,,317496,22.13
TOTAL,EQ,128.05,129.7,123.3,124.15,124,127.9,29293,3691322.2,13-NOV-2023,1309,INE336X01012,,15349,52.40
TOUCHWOOD,BE,206,206,196.55,196.6,199.8,206.9,1899,374741.15,13-NOV-2023,44,INE486Y01013,,-,-
TPHQ,BE,10,10.6,10,10,10,10.5,445680,4474801.05,13-NOV-2023,1056,INE065J01016,,-,-
TPLPLASTEH,EQ,55.55,55.6,50.2,52.35,52.5,55.55,483519,25375438.35,13-NOV-2023,3112,INE413G01022,,235037,48.61
TRACXN,EQ,88.7,89.8,86.95,88.25,88.05,90.05,3640869,321401454.85,13-NOV-2023,24682,INE0HMF01019,,1990619,54.67
TRANSTEEL,ST,107,107,101.7,102.65,101.7,107.05,322000,33011400,13-NOV-2023,133,INE0NVI01020,,298000,92.55
TREEHOUSE,EQ,21.45,21.45,20.6,20.95,21.3,21.45,22453,474330.8,13-NOV-2023,389,INE040M01013,,11864,52.84
TREJHARA,BE,141.2,141.3,141.2,141.2,141.2,144.05,34784,4912207,13-NOV-2023,86,INE00CA01015,,-,-
TREL,EQ,43,43,41.4,41.75,41.6,42.9,454441,19013827.4,13-NOV-2023,2083,INE0O3901029,,292795,64.43
TRENT,EQ,2495,2564,2485.35,2559.05,2556.35,2494.25,1131761,2878178363.45,13-NOV-2023,69803,INE849A01020,,614624,54.31
TRF,EQ,273.6,273.6,265.1,268.45,268,272.2,75455,20268734.95,13-NOV-2023,4223,INE391D01019,,29758,39.44
TRIDENT,EQ,36.7,36.7,36,36.4,36.4,36.65,5465323,198594543.1,13-NOV-2023,17957,INE064C01022,,2100044,38.42
TRIDHYA,SM,37.95,39.25,37.95,38.8,38.8,37.65,51000,1982850,13-NOV-2023,17,INE0LWY01029,,51000,100.00
TRIGYN,EQ,120.35,120.35,115.1,116.25,116,119.35,155102,18194843.2,13-NOV-2023,2373,INE948A01012,,90671,58.46
TRIL,EQ,180,193.8,179.8,189.35,190,178,1764586,333968049.15,13-NOV-2023,31017,INE763I01026,,680932,38.59
TRITURBINE,EQ,405.9,406.5,401.55,403.45,402.5,406,205921,83111855.65,13-NOV-2023,8924,INE152M01016,,118248,57.42
TRIVENI,EQ,362.25,364.9,357.7,360.7,361,362.7,397460,143848960.7,13-NOV-2023,10859,INE256C01024,,165474,41.63
TRU,EQ,72,72.5,70.25,70.9,70.8,72.2,1896627,135101127.15,13-NOV-2023,2746,INE615R01029,,519170,27.37
TTKHLTCARE,EQ,1281.3,1300.4,1281,1290.2,1285.1,1287.65,3465,4480912.5,13-NOV-2023,941,INE910C01018,,2052,59.22
TTKPRESTIG,EQ,803,805,782,783.7,783,805,33434,26349535.35,13-NOV-2023,5774,INE690A01028,,20180,60.36
TTL,EQ,94.35,94.35,93.3,93.55,93.55,94.55,3357,314661.9,13-NOV-2023,132,INE592B01016,,1693,50.43
TTML,EQ,88.65,90.5,87.9,88.8,88.75,88.65,1838680,163293525.9,13-NOV-2023,10748,INE517B01013,,720769,39.20
TV18BRDCST,EQ,42.9,43,42.4,42.65,42.65,43.1,3777340,161248037.5,13-NOV-2023,6707,INE886H01027,,1635751,43.30
TVSELECT,EQ,355,357.95,350.9,351.75,352.3,355.4,35967,12722679.9,13-NOV-2023,3001,INE236G01019,,15520,43.15
TVSHLTD,EQ,5688.8,5700,5563,5606.5,5563,5680.8,1060,5979625.05,13-NOV-2023,550,INE105A01035,,456,43.02
TVSHLTD,P1,10.35,10.4,10.35,10.35,10.35,10.4,82249,851345.85,13-NOV-2023,21,INE105A04013,,82249,100.00
TVSMOTOR,EQ,1649.3,1652,1635.7,1648.05,1652,1650.65,364986,600865141.4,13-NOV-2023,22031,INE494B01023,,199821,54.75
TVSSCS,EQ,213.95,215,212,213.35,213.8,213.9,594740,126936115,13-NOV-2023,6376,INE395N01027,,286398,48.16
TVSSRICHAK,EQ,4654,4769.85,4606.3,4681.9,4685,4656.1,11142,52327878.55,13-NOV-2023,2219,INE421C01016,,4787,42.96
TVTODAY,EQ,214,214,211.25,212.95,213,214.6,68407,14538221.6,13-NOV-2023,2644,INE038F01029,,37840,55.32
TVVISION,BE,3.7,3.7,3.7,3.7,3.7,3.75,236,873.2,13-NOV-2023,6,INE871L01013,,-,-
UBL,EQ,1610.5,1610.5,1570,1573.35,1572,1604.2,140684,222512654.55,13-NOV-2023,9985,INE686F01025,,60466,42.98
UCAL,EQ,132,132.75,131.1,131.75,131.6,131.5,7240,955632.6,13-NOV-2023,198,INE139B01016,,5580,77.07
UCOBANK,EQ,37.45,40.2,37.05,39.6,39.7,37.5,36375826,1412088117.55,13-NOV-2023,42249,INE691A01018,,11240409,30.90
UDS,EQ,278.65,283.05,273.15,280.6,280,278.7,304108,84944355.5,13-NOV-2023,4842,INE851I01011,,240576,79.11
UFLEX,EQ,437.85,439,435,436.35,437,437.85,36336,15868993.8,13-NOV-2023,2112,INE516A01017,,22378,61.59
UFO,BE,105.65,107.8,104.05,105.65,106.2,107,136093,14381344.4,13-NOV-2023,489,INE527H01019,,-,-
UGARSUGAR,EQ,91.35,91.95,89.9,90.4,90.4,92.1,286248,25879683.85,13-NOV-2023,3299,INE071E01023,,152967,53.44
UGROCAP,EQ,285,286.05,281.3,284.2,285.5,285.75,78347,22216856.65,13-NOV-2023,2404,INE583D01011,,49537,63.23
UGROCAP,N1,325.21,325.21,325.21,325.21,325.21,325.05,100,32521,13-NOV-2023,1,INE583D07174,,100,100.00
UGROCAP,N4,997.89,997.89,995,995.25,995,999.99,278,277220.89,13-NOV-2023,8,INE583D07265,,278,100.00
UGROCAP,N6,1000,1000,1000,1000,1000,998,28,28000,13-NOV-2023,1,INE583D07307,,28,100.00
UJJIVAN,EQ,560,575.6,554.05,569.2,569.05,559.7,454911,257647991.1,13-NOV-2023,13194,INE334L01012,,207336,45.58
UJJIVANSFB,EQ,57.85,58.15,57.2,57.95,58.1,57.8,8516644,492248581.1,13-NOV-2023,20506,INE551W01018,,3247510,38.13
ULTRACEMCO,EQ,8711.1,8723.8,8660,8677.4,8678.9,8711.1,64412,559620408.8,13-NOV-2023,12221,INE481G01011,,38145,59.22
UMA,SM,30.9,30.9,30.9,30.9,30.9,31,4000,123600,13-NOV-2023,1,INE067901012,,4000,100.00
UMAEXPORTS,EQ,47.65,48.1,46.5,47.55,47.4,47.65,56710,2695405.2,13-NOV-2023,825,INE0GIU01018,,36490,64.34
UMANGDAIRY,EQ,70.95,70.95,69,69.1,69.05,70,9942,690493.45,13-NOV-2023,203,INE864B01027,,7073,71.14
UMESLTD,BE,6.35,6.35,6.35,6.35,6.35,6.05,12634,80225.9,13-NOV-2023,46,INE240C01028,,-,-
UNICHEMLAB,EQ,414.6,414.6,407.2,409.55,410,410.95,3520,1441463.3,13-NOV-2023,460,INE351A01035,,1616,45.91
UNIDT,EQ,245.95,245.95,233.3,236.85,237.5,243.75,29806,7067818.6,13-NOV-2023,1413,INE961D01019,,17441,58.52
UNIENTER,EQ,152.5,152.5,148.5,150.1,150.85,150.4,4093,616612.6,13-NOV-2023,273,INE037A01022,,2264,55.31
UNIHEALTH,SM,139,140.85,137.3,139,139,141.4,9000,1251150,13-NOV-2023,7,INE0PRF01011,,8000,88.89
UNIINFO,BE,31.3,32,29.55,30.05,30,31.05,22708,692019.3,13-NOV-2023,118,INE481Z01011,,-,-
UNIONBANK,EQ,104.3,112.65,103.9,112,111.55,104.55,55306838,6063814723.2,13-NOV-2023,128239,INE692A01016,,27088820,48.98
UNIPARTS,EQ,546.1,552.95,546,550.65,550.05,544.55,77405,42557507.45,13-NOV-2023,6274,INE244O01017,,48761,62.99
UNITECH,BZ,3.5,3.5,3.5,3.5,3.5,3.35,1618516,5664806,13-NOV-2023,550,INE694A01020,,-,-
UNITEDPOLY,EQ,99.4,101,98.5,100.75,100.2,99.3,1621,161866.4,13-NOV-2023,121,INE368U01011,,718,44.29
